Date,EU27
1980-01-01,2308.3074392258727
1980-01-02,2023.833571144888
1980-01-03,1838.128160783805
1980-01-04,2260.9447727760958
1980-01-05,1617.2850797544288
1980-01-06,1470.0010587985314
1980-01-07,1167.0754293229702
1980-01-08,1105.2254539743046
1980-01-09,1127.040331986774
1980-01-10,1339.8701815010008
1980-01-11,1542.493940436834
1980-01-12,1940.5009133785384
1980-01-13,1687.6430116231495
1980-01-14,1802.7082508166147
1980-01-15,1535.0783285355908
1980-01-16,1608.2009331458396
1980-01-17,1460.0342526926986
1980-01-18,1317.7007442272302
1980-01-19,1394.855091906081
1980-01-20,1618.133458165893
1980-01-21,2401.039855057324
1980-01-22,2971.87887130157
1980-01-23,2298.353392580608
1980-01-24,1475.8248982082305
1980-01-25,1433.082197125205
1980-01-26,1575.943932719468
1980-01-27,2186.87896090002
1980-01-28,1594.177060488591
1980-01-29,1362.3328323615892
1980-01-30,2589.9252915564907
1980-01-31,2971.3172489356616
1980-02-01,2684.676139406114
1980-02-02,2491.9672971125738
1980-02-03,2448.031950034663
1980-02-04,2212.2195593032598
1980-02-05,2619.982283382168
1980-02-06,1996.9503509378608
1980-02-07,1786.6323442928956
1980-02-08,1803.2506887854177
1980-02-09,2006.416207028288
1980-02-10,1841.5993319773463
1980-02-11,1607.467121159537
1980-02-12,1268.7391630567274
1980-02-13,1235.561154754555
1980-02-14,1165.125757841957
1980-02-15,1483.332058701442
1980-02-16,1379.681441678866
1980-02-17,1100.7547219811602
1980-02-18,1246.7575948298056
1980-02-19,1982.738891544589
1980-02-20,2133.474791976456
1980-02-21,1823.1445413052068
1980-02-22,1720.772830483219
1980-02-23,1481.8513681591655
1980-02-24,1523.0196343453076
1980-02-25,1170.6898352402004
1980-02-26,1315.9847566161036
1980-02-27,1274.7965297637172
1980-02-28,1491.893526445637
1980-02-29,1987.706028256166
1980-03-01,2208.400959433253
1980-03-02,2110.8359650670354
1980-03-03,2336.794564613942
1980-03-04,1670.3360063683883
1980-03-05,1733.111628043083
1980-03-06,2793.446291846685
1980-03-07,2919.972090155817
1980-03-08,1775.5936584093886
1980-03-09,1451.1217821676023
1980-03-10,1353.7620758246048
1980-03-11,1336.1406660758937
1980-03-12,1701.936459384258
1980-03-13,2457.4906013369387
1980-03-14,2736.067427113048
1980-03-15,2301.384957202848
1980-03-16,1712.9530447423897
1980-03-17,1500.6574266055684
1980-03-18,2077.89896014262
1980-03-19,2410.5853903747125
1980-03-20,2356.919566007713
1980-03-21,2124.9246911774494
1980-03-22,1948.4084170633569
1980-03-23,1873.378110497286
1980-03-24,1537.8514132708096
1980-03-25,1719.2012141193577
1980-03-26,1771.406759869975
1980-03-27,2371.8649202828788
1980-03-28,2340.202004678631
1980-03-29,2844.217576008384
1980-03-30,2569.3905511254115
1980-03-31,1801.5828525101697
1980-04-01,1934.9436370657215
1980-04-02,2752.0191682389823
1980-04-03,2744.5715270777346
1980-04-04,2345.0379060285345
1980-04-05,1983.569787789896
1980-04-06,1710.7204908890849
1980-04-07,1701.6235619797967
1980-04-08,2224.442218259137
1980-04-09,2082.979347593073
1980-04-10,1760.3981952755366
1980-04-11,1693.031940587006
1980-04-12,1755.7445353801622
1980-04-13,1875.948327536411
1980-04-14,1895.068128919606
1980-04-15,1760.084721897359
1980-04-16,1447.5840062602697
1980-04-17,1634.33060184427
1980-04-18,2250.5121550131767
1980-04-19,3208.8938429188715
1980-04-20,2579.360940479157
1980-04-21,1928.0000989272305
1980-04-22,1789.4299088100895
1980-04-23,2275.513756266387
1980-04-24,2416.469837126854
1980-04-25,1589.897428142405
1980-04-26,1375.0314327022634
1980-04-27,1327.9413447983932
1980-04-28,1450.5980037869724
1980-04-29,1357.4190781861184
1980-04-30,1747.9483649975498
1980-05-01,2432.9884188286187
1980-05-02,2297.923807218628
1980-05-03,2020.1175821031013
1980-05-04,1954.104631998213
1980-05-05,1900.0845406047629
1980-05-06,1885.653511153382
1980-05-07,1597.8007420931813
1980-05-08,1773.3925632044811
1980-05-09,2001.112042163557
1980-05-10,2187.6138788430526
1980-05-11,2536.7496935839467
1980-05-12,2634.83813883726
1980-05-13,2830.0884123059186
1980-05-14,2447.6327308768564
1980-05-15,2310.461320571724
1980-05-16,1911.4102408084368
1980-05-17,1563.061693782318
1980-05-18,1569.1809041903623
1980-05-19,1653.0344577978651
1980-05-20,1725.1295279818555
1980-05-21,1910.12240802586
1980-05-22,1983.5724875902088
1980-05-23,1927.393482177241
1980-05-24,1628.1412675467286
1980-05-25,1623.4476120036036
1980-05-26,1511.1248436595174
1980-05-27,1472.2204357607632
1980-05-28,1508.8043061493345
1980-05-29,1704.8985765904133
1980-05-30,1919.3075338126675
1980-05-31,1998.1766235023808
1980-06-01,2267.011206907175
1980-06-02,2666.3823798714902
1980-06-03,2378.514825526686
1980-06-04,1960.4427084574368
1980-06-05,1816.8711099670256
1980-06-06,1758.296687391682
1980-06-07,1558.0036210621124
1980-06-08,1382.9324877959525
1980-06-09,1696.1873034292244
1980-06-10,1714.149688993725
1980-06-11,1775.149946013018
1980-06-12,1866.4574566999447
1980-06-13,1706.2748553916272
1980-06-14,2232.86699818752
1980-06-15,2323.157389752206
1980-06-16,2021.5770835997728
1980-06-17,1663.123253445715
1980-06-18,1602.056486669052
1980-06-19,2113.06204351922
1980-06-20,2611.528951861917
1980-06-21,2048.639710805584
1980-06-22,1669.378449605881
1980-06-23,1935.084143711524
1980-06-24,2152.677496256933
1980-06-25,1997.6473710523244
1980-06-26,1680.357130734576
1980-06-27,2122.964536356621
1980-06-28,2588.913568377303
1980-06-29,2099.417510962178
